k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,2.0,0,0,0,0,0,0,26.84
2,4.0,0,0,0,0,0,0,21.28
3,6.0,0,0,0,0,0,0,18.09
4,8.0,0,0,0,0,0,0,16.90
5,10.0,1,0,0,1,0,0,16.22
6,12.0,2,0,0,2,0,0,15.11
7,14.0,3,1,0,3,1,0,14.46
8,16.0,4,140,0,4,2,0,14.00
9,18.0,5,242,0,5,3,0,13.63
10,20.0,4,416,0,4,4,0,13.51
11,22.0,4,541,0,4,6,0,13.24
12,24.0,5,228,0,5,3,0,12.96
13,26.0,6,452,0,6,4,0,12.79
14,28.0,6,482,0,6,4,0,12.48
15,30.0,7,658,0,7,5,0,12.41
16,32.0,6,505,0,6,5,0,12.32
17,34.0,7,847,0,7,7,0,12.53
18,36.0,2172,642,0,8,6,0,11.92
19,38.0,2275,506,0,6,5,0,11.87
20,40.0,6707,453,0,6,6,0,11.80
21,42.0,4616,710,0,7,7,0,11.78
22,44.0,52,582,0,7,6,0,11.56
23,46.0,109,544,0,7,7,0,11.57
24,48.0,7098,300,0,7,5,0,11.66
25,50.0,6951,702,0,8,8,0,101.73
26,52.0,9058,737,0,7,7,0,11.68
27,54.0,7193,737,0,8,7,0,11.92
28,56.0,4865,802,0,8,7,0,11.48
29,58.0,627,610,0,8,6,0,11.28
30,60.0,13504,703,0,8,6,0,11.34
31,62.0,4837,711,0,8,7,0,11.27
32,64.0,9767,853,0,8,7,0,11.27
33,66.0,22673,895,0,8,8,0,11.30
34,68.0,20135,853,0,8,7,0,11.13
35,70.0,7131,774,0,8,8,0,11.14
36,72.0,22507,774,0,8,8,0,11.20
37,74.0,23719,596,0,8,7,0,11.14
38,76.0,25369,555,0,8,7,0,11.07
39,78.0,30134,781,0,8,7,0,10.90
40,80.0,23937,743,0,8,7,0,10.93
41,82.0,28864,756,0,8,8,0,10.82
42,84.0,18358,900,0,8,8,0,10.96
43,86.0,19458,783,0,8,8,0,10.95
44,88.0,24149,787,0,8,8,0,10.76
45,90.0,33934,859,0,8,8,0,10.79
46,92.0,25879,772,0,8,8,0,10.70
47,94.0,108760,83890,0,8,7,0,10.71
48,96.0,144497,553,0,8,6,0,10.70
49,98.0,27082,738,0,8,8,0,10.77
50,100.0,42237,870,0,8,8,0,10.66
