graph_type,param,n,err_size,gaps,max_gap,density,entropy
random,n=10_s=0,10,322,1,149,0.6453,0.9382
random,n=10_s=1,10,450,1,24,0.9018,0.4633
random,n=10_s=2,10,449,1,21,0.8998,0.4696
random,n=10_s=3,10,417,1,31,0.8357,0.6446
random,n=10_s=4,10,379,0,0,0.7595,0.7958
random,n=10_s=5,10,469,0,0,0.9399,0.3279
random,n=10_s=6,10,0,0,0,0.0000,0.0000
random,n=10_s=7,10,424,1,8,0.8497,0.6106
random,n=10_s=8,10,428,1,34,0.8577,0.5902
random,n=10_s=9,10,394,1,22,0.7896,0.7423
random,n=10_s=10,10,451,3,16,0.9038,0.4568
random,n=10_s=11,10,441,5,13,0.8838,0.5184
random,n=10_s=12,10,405,2,37,0.8116,0.6981
random,n=10_s=13,10,475,3,5,0.9519,0.2783
random,n=10_s=14,10,439,3,8,0.8798,0.5301
random,n=10_s=15,10,381,3,45,0.7635,0.7891
random,n=10_s=16,10,415,5,39,0.8317,0.6539
random,n=10_s=17,10,427,2,24,0.8557,0.5954
random,n=10_s=18,10,448,2,14,0.8978,0.4759
random,n=10_s=19,10,407,4,31,0.8156,0.6895
random,n=20_s=0,20,459,13,7,0.9198,0.4027
random,n=20_s=1,20,429,2,27,0.8597,0.5850
random,n=20_s=2,20,422,2,17,0.8457,0.6205
random,n=20_s=3,20,476,6,3,0.9539,0.2696
random,n=20_s=4,20,472,2,5,0.9459,0.3036
random,n=20_s=5,20,460,4,11,0.9218,0.3956
random,n=20_s=6,20,458,6,8,0.9178,0.4098
random,n=20_s=7,20,473,4,5,0.9479,0.2953
random,n=20_s=8,20,449,3,6,0.8998,0.4696
random,n=20_s=9,20,444,5,10,0.8898,0.5006
random,n=20_s=10,20,451,1,2,0.9038,0.4568
random,n=20_s=11,20,417,1,8,0.8357,0.6446
random,n=20_s=12,20,403,1,38,0.8076,0.7064
random,n=20_s=13,20,418,1,38,0.8377,0.6398
random,n=20_s=14,20,445,3,9,0.8918,0.4945
random,n=20_s=15,20,447,2,2,0.8958,0.4822
random,n=20_s=16,20,452,3,7,0.9058,0.4503
random,n=20_s=17,20,465,4,3,0.9319,0.3589
random,n=20_s=18,20,457,1,21,0.9158,0.4167
random,n=20_s=19,20,427,1,21,0.8557,0.5954
random,n=50_s=0,50,477,6,2,0.9559,0.2607
random,n=50_s=1,50,477,2,5,0.9559,0.2607
random,n=50_s=2,50,487,4,2,0.9760,0.1636
random,n=50_s=3,50,484,4,1,0.9699,0.1947
random,n=50_s=4,50,476,9,4,0.9539,0.2696
random,n=50_s=5,50,465,3,5,0.9319,0.3589
random,n=50_s=6,50,493,3,1,0.9880,0.0939
random,n=50_s=7,50,477,4,3,0.9559,0.2607
random,n=50_s=8,50,458,2,4,0.9178,0.4098
random,n=50_s=9,50,465,6,5,0.9319,0.3589
random,n=50_s=10,50,476,6,8,0.9539,0.2696
random,n=50_s=11,50,472,9,3,0.9459,0.3036
random,n=50_s=12,50,470,4,6,0.9419,0.3199
random,n=50_s=13,50,477,2,3,0.9559,0.2607
random,n=50_s=14,50,479,4,4,0.9599,0.2427
random,n=50_s=15,50,464,3,6,0.9299,0.3664
random,n=50_s=16,50,442,4,19,0.8858,0.5125
random,n=50_s=17,50,453,3,15,0.9078,0.4437
random,n=50_s=18,50,449,2,9,0.8998,0.4696
random,n=50_s=19,50,480,7,5,0.9619,0.2334
diamond,P=5_W=1,4,15,1,2,0.7895,0.7425
diamond,P=10_W=1,4,23,2,2,0.7931,0.7355
diamond,P=15_W=1,4,34,3,2,0.8718,0.5525
diamond,P=20_W=1,4,43,3,2,0.8776,0.5364
diamond,P=25_W=1,4,53,3,2,0.8983,0.4743
diamond,P=30_W=1,4,63,4,2,0.9130,0.4262
diamond,P=35_W=1,4,70,5,2,0.8861,0.5116
diamond,P=40_W=1,4,81,4,2,0.9101,0.4361
diamond,P=45_W=1,4,95,2,2,0.9596,0.2441
diamond,P=50_W=1,4,101,4,2,0.9266,0.3785
diamond,P=55_W=1,4,109,5,2,0.9160,0.4162
diamond,P=60_W=1,4,125,2,2,0.9690,0.1994
diamond,P=65_W=1,4,131,5,2,0.9424,0.3177
diamond,P=70_W=1,4,137,7,2,0.9195,0.4041
diamond,P=75_W=1,4,151,6,2,0.9497,0.2877
diamond,P=80_W=1,4,162,4,2,0.9586,0.2488
diamond,P=85_W=1,4,173,3,2,0.9665,0.2117
diamond,P=90_W=1,4,181,6,2,0.9577,0.2529
diamond,P=95_W=1,4,187,8,2,0.9397,0.3286
diamond,P=100_W=1,4,201,5,2,0.9617,0.2343
